"user_id","avg_pay_amt","avg_pay_amt_weekdays","avg_pay_amt_weekends"
2261,"[36,49)","[36,49)","[36,49)"
2289,"[29,36)","[29,36)","<29"
2297,">=65","[49,65)",">=65"
2306,"[29,36)","<29","[49,65)"
2314,"[49,65)","[49,65)","[49,65)"
2316,"[36,49)","[36,49)","[36,49)"
2318,"[36,49)","[36,49)","[36,49)"
2321,"<29","<29","[29,36)"
2326,"[36,49)","[29,36)","[36,49)"
2330,"[36,49)","未知",">=65"
2333,">=65",">=65",">=65"
2346,"<29","<29","<29"
2361,"[29,36)","[29,36)","<29"
2381,"[49,65)","[49,65)",">=65"
2391,"<29","<29","<29"
2393,"[29,36)","[36,49)","[29,36)"
2395,">=65",">=65",">=65"
2397,"<29","<29","<29"
2403,"<29","<29","<29"
2417,"[36,49)","[36,49)","[29,36)"
2418,"[29,36)","[29,36)","[29,36)"
2431,"<29","<29","<29"
2436,"[29,36)","[36,49)","<29"
2443,">=65",">=65",">=65"
2446,">=65",">=65",">=65"
2455,"[49,65)","未知","[49,65)"
2464,"[49,65)","[36,49)","[36,49)"
2473,"<29","<29","<29"
2487,"<29","<29","<29"
2511,"[49,65)",">=65","[49,65)"
2512,"[49,65)","[36,49)","[36,49)"
2514,"[36,49)","[36,49)","[36,49)"
2531,"<29","<29","<29"
2540,"[36,49)","[36,49)","[36,49)"
2544,">=65",">=65",">=65"
2566,">=65",">=65",">=65"
2597,"[29,36)","[36,49)","[29,36)"
2603,"<29","<29","<29"
2625,">=65",">=65",">=65"
2626,"[36,49)","[36,49)","[36,49)"
2634,"[29,36)","<29","[36,49)"
2643,"<29","<29","<29"
2669,">=65",">=65",">=65"
2678,"[49,65)","[49,65)","[49,65)"
2679,"[49,65)","[49,65)","[49,65)"
2681,"<29","<29","<29"
2685,">=65",">=65",">=65"
2687,"[29,36)","<29","[36,49)"
2690,">=65","[49,65)",">=65"
2692,"[29,36)","[29,36)","[29,36)"
2693,"[36,49)","[29,36)",">=65"
2711,">=65",">=65",">=65"
2713,"<29","<29","<29"
2719,"[36,49)","[36,49)","[29,36)"
2722,"<29","<29","<29"
2726,"[36,49)","未知",">=65"
2735,"[29,36)","<29","[36,49)"
2752,"<29","<29","未知"
2759,"[36,49)","[36,49)","[29,36)"
2764,"[49,65)","未知","[49,65)"
2766,">=65",">=65",">=65"
2774,">=65",">=65",">=65"
2783,"[49,65)","[49,65)",">=65"
2795,"<29","<29","<29"
2833,"<29","<29","<29"
2839,"[29,36)","[29,36)","<29"
2848,"[49,65)","[49,65)","[49,65)"
2854,"[36,49)","[36,49)","[36,49)"
2863,">=65",">=65","[49,65)"
2869,"[36,49)","[29,36)","[36,49)"
2884,">=65",">=65","[49,65)"
2885,"[29,36)","[29,36)","[36,49)"
2914,"[49,65)","[49,65)","[49,65)"
2925,"<29","<29","[29,36)"
2933,"[29,36)","[29,36)","[29,36)"
2944,"<29","<29","[29,36)"
2948,"[36,49)","[36,49)","[36,49)"
2963,"[49,65)","[49,65)","[49,65)"
2972,"[49,65)","[49,65)","[49,65)"
2975,"[36,49)","未知","[49,65)"
2978,"[36,49)","[36,49)","[36,49)"
2979,"[29,36)","[29,36)","[29,36)"
2997,">=65",">=65",">=65"
3001,"[49,65)","[29,36)",">=65"
3006,"[36,49)","[36,49)","[36,49)"
3018,"[49,65)","[49,65)",">=65"
3024,">=65",">=65",">=65"
3033,"[49,65)","[49,65)","[49,65)"
3035,"[49,65)","未知","[49,65)"
3038,"[36,49)","未知","[49,65)"
3040,"[36,49)","未知","[49,65)"
3062,"[49,65)","[36,49)","[36,49)"
3065,">=65",">=65",">=65"
3066,"<29","<29","<29"
3067,"[49,65)","[49,65)","[49,65)"
3073,"<29","<29","[29,36)"
3082,"[29,36)","[29,36)","[29,36)"
3089,"[49,65)","[49,65)","[49,65)"
3098,"[49,65)","[49,65)",">=65"
3109,"[29,36)","[29,36)","[29,36)"
3112,"<29","<29","<29"
3113,"[49,65)","[49,65)","[49,65)"
3121,"[29,36)","[29,36)","[36,49)"
3123,"[36,49)","[36,49)","[36,49)"
3151,">=65",">=65",">=65"
3164,"[49,65)","[49,65)","[49,65)"
3170,"[36,49)","[36,49)","[29,36)"
3180,"<29","<29","<29"
3192,"[29,36)","[36,49)","<29"
3207,"[29,36)","[29,36)","[29,36)"
3219,"[29,36)","[29,36)","[29,36)"
3238,"[36,49)","未知","[49,65)"
3248,"[36,49)","[36,49)","[36,49)"
3254,"<29","<29","<29"
3267,"[36,49)","[36,49)","[36,49)"
3269,"[36,49)","[36,49)","[36,49)"
3279,"<29","<29","<29"
3283,"<29","<29","<29"
3298,"[36,49)","未知","[49,65)"
3302,"<29","<29","<29"
3305,">=65",">=65",">=65"
3306,"[36,49)","未知","[49,65)"
3319,">=65",">=65",">=65"
3328,"[36,49)","[36,49)","[36,49)"
3335,">=65",">=65","未知"
3341,"[36,49)","[36,49)","[36,49)"
3349,"[49,65)","[49,65)",">=65"
3355,"[36,49)","[29,36)","[49,65)"
3361,"[36,49)","[29,36)","[36,49)"
3362,"[36,49)","[36,49)","[36,49)"
3373,"[29,36)","[29,36)","<29"
3379,"[49,65)","[49,65)",">=65"
3385,"<29","<29","<29"
3402,">=65","[49,65)",">=65"
3429,"[36,49)","[36,49)","[36,49)"
3436,"[49,65)","[49,65)","[49,65)"
3441,"[49,65)","[36,49)","[36,49)"
3443,">=65",">=65",">=65"
3444,"[36,49)","[36,49)","[36,49)"
3457,"[49,65)","未知",">=65"
3461,"<29","<29","<29"
3475,"[29,36)","[29,36)","[29,36)"
3477,"[36,49)","[36,49)","[36,49)"
3484,">=65",">=65",">=65"
3514,"<29","<29","<29"
3528,"[36,49)","未知","未知"
3535,"[49,65)","[49,65)",">=65"
3554,">=65",">=65",">=65"
3559,"[36,49)","[29,36)","[36,49)"
3560,"[36,49)","[36,49)","[36,49)"
3563,"[49,65)","[49,65)","[49,65)"
3564,"[49,65)","[49,65)",">=65"
3589,">=65",">=65",">=65"
3591,">=65",">=65",">=65"
3602,"[49,65)","[36,49)","[36,49)"
3608,"<29","<29","<29"
3610,">=65",">=65",">=65"
3615,"[36,49)","未知","[49,65)"
3616,">=65",">=65",">=65"
3626,"[49,65)","[49,65)","[49,65)"
3635,"<29","<29","<29"
3636,">=65","[36,49)","[36,49)"
3640,"[49,65)","[49,65)","[49,65)"
3653,">=65",">=65",">=65"
3657,"<29","<29","<29"
3663,"[29,36)","[29,36)","<29"
3672,"<29","<29","[29,36)"
3695,">=65",">=65",">=65"
3702,"[36,49)","[29,36)","[36,49)"
3710,"[29,36)","[29,36)","[29,36)"
3719,"<29","<29","<29"
3739,"[29,36)","[29,36)","[29,36)"
3743,"<29","<29","<29"
3745,"[29,36)","[29,36)","[29,36)"
3746,"[29,36)","[29,36)","[36,49)"
3753,"[36,49)","[36,49)","[36,49)"
3754,"[29,36)","[29,36)","[29,36)"
3778,"[29,36)","[36,49)","[29,36)"
3781,"<29","<29","未知"
3784,"[36,49)","[36,49)","[36,49)"
3785,"[36,49)","[36,49)","[36,49)"
3786,"[49,65)","[49,65)","[49,65)"
3787,">=65",">=65","[49,65)"
3790,"[49,65)","[49,65)","[49,65)"
3830,"[36,49)","[36,49)","[36,49)"
3831,">=65",">=65","[49,65)"
3835,"[29,36)","[29,36)","[29,36)"
3841,">=65",">=65",">=65"
3843,">=65",">=65",">=65"
3847,"[49,65)","[36,49)","[36,49)"
3848,"[36,49)","[36,49)","[36,49)"
3855,"[29,36)","[29,36)","[29,36)"
3858,">=65",">=65",">=65"
3860,"[36,49)","[36,49)","[36,49)"
3878,"[36,49)","[36,49)","[36,49)"
3889,"[29,36)","[36,49)","[29,36)"
3907,"<29","<29","<29"
3915,">=65",">=65","[49,65)"
3923,"<29","<29","<29"
3926,"[36,49)","[29,36)","[36,49)"
3945,"[49,65)","[49,65)","[49,65)"
3955,"[36,49)","[36,49)","[36,49)"
3961,"[49,65)","未知",">=65"
3964,"[36,49)","<29","[49,65)"
3965,">=65",">=65",">=65"
3968,">=65",">=65",">=65"
3974,"<29","<29","<29"
3976,"[49,65)","<29",">=65"
3989,"[36,49)","[36,49)","[36,49)"
4013,"[29,36)","[29,36)","[29,36)"
4017,"[36,49)","[36,49)","[36,49)"
4028,"<29","<29","<29"
4034,"[49,65)","[36,49)","[36,49)"
4038,"[36,49)","未知","[49,65)"
4040,"[36,49)","[36,49)","[29,36)"
4052,"[29,36)","[29,36)","[29,36)"
4053,"<29","<29","<29"
4057,"[29,36)","<29","[29,36)"
4092,"<29","<29","[29,36)"
4094,"<29","<29","[29,36)"
4120,"<29","<29","<29"
4126,"[36,49)","[36,49)","[36,49)"
4143,"[49,65)","[36,49)","[36,49)"
4148,">=65",">=65",">=65"
4157,"[36,49)","[36,49)","<29"
4159,">=65","[49,65)",">=65"
4160,">=65","[49,65)",">=65"
4186,"[36,49)","[29,36)","[36,49)"
4187,"[36,49)","<29","[49,65)"
4188,"<29","<29","<29"
4190,"<29","<29","<29"
4195,"[36,49)","[36,49)","[36,49)"
4210,"[49,65)",">=65","[49,65)"
4228,"<29","<29","<29"
4243,"[29,36)","[29,36)","[36,49)"
4254,">=65",">=65",">=65"
4259,"[36,49)","[36,49)","[36,49)"
4266,"[49,65)","[49,65)","[49,65)"
4268,"[49,65)","未知","[49,65)"
4269,"[36,49)","[36,49)","[36,49)"
4271,"<29","<29","<29"
4280,"<29","<29","<29"
4290,">=65",">=65","未知"
4296,"[49,65)","[36,49)","[36,49)"
4301,"[49,65)",">=65","[49,65)"
4307,"<29","<29","<29"
4320,">=65",">=65",">=65"
4343,"[49,65)","[49,65)","[49,65)"
4345,"[36,49)","未知","[49,65)"
4364,"<29","<29","未知"
4365,"<29","<29","<29"
4366,">=65",">=65",">=65"
4370,"[49,65)","[49,65)","[49,65)"
4376,"[36,49)","未知","[49,65)"
4378,"<29","<29","<29"
4386,"[29,36)","[29,36)","<29"
4387,">=65",">=65",">=65"
4397,"[49,65)","[49,65)","[49,65)"
4418,"[29,36)","[29,36)","[29,36)"
4419,">=65",">=65",">=65"
4420,">=65",">=65","[49,65)"
4425,"[29,36)","<29","[29,36)"
4430,"[36,49)","未知","[49,65)"
4432,"[49,65)","[49,65)","[49,65)"
4439,"<29","<29","[29,36)"
4445,"<29","<29","<29"
4457,">=65",">=65",">=65"
4472,"[49,65)","[49,65)","[49,65)"
4488,">=65",">=65","[49,65)"
4495,"[29,36)","<29","[29,36)"
4516,"[49,65)",">=65","[49,65)"
4518,"<29","<29","[29,36)"
4520,"<29","<29","[36,49)"
4525,"[49,65)","[49,65)","[49,65)"
4543,"<29","<29","<29"
4555,"[29,36)","[29,36)","[36,49)"
4560,">=65",">=65",">=65"
4565,"[49,65)","<29",">=65"
4571,"<29","<29","<29"
4604,"<29","<29","<29"
4609,"[36,49)","[36,49)","[36,49)"
4618,"[49,65)","[49,65)","[49,65)"
4629,"[49,65)","[36,49)","[36,49)"
4636,"[36,49)","[36,49)","[36,49)"
4637,"<29","<29","[29,36)"
4646,"[29,36)","[29,36)","<29"
4662,"<29","<29","<29"
4695,"[36,49)","[36,49)","[36,49)"
4699,"<29","<29","<29"
4700,"[49,65)","[36,49)","[36,49)"
4740,"[49,65)","[49,65)","[49,65)"
4749,"<29","<29","<29"
4760,"[36,49)","[36,49)","[36,49)"
4762,"<29","<29","<29"
4765,"[29,36)","[29,36)","[29,36)"
4772,"[36,49)","[36,49)","[36,49)"
4783,"<29","<29","<29"
4790,"[36,49)","[36,49)","[36,49)"
4802,"<29","<29","<29"
4805,"[36,49)","[29,36)","[36,49)"
4830,"[29,36)","[36,49)","[29,36)"
4834,"[36,49)","[36,49)","[36,49)"
4835,"[29,36)","<29","[49,65)"
4839,"[49,65)","[49,65)","[49,65)"
4842,"[49,65)","[49,65)","[49,65)"
4852,"[36,49)","[36,49)","[36,49)"
4857,"[49,65)","[49,65)","未知"
4874,"<29","<29","<29"
4886,">=65",">=65",">=65"
4907,"[36,49)","[36,49)","<29"
4913,"<29","<29","<29"
4933,"<29","<29","<29"
4938,"[49,65)","[49,65)","[49,65)"
4955,"[36,49)","[36,49)","[36,49)"
4963,"[49,65)","[49,65)","[49,65)"
4964,">=65",">=65",">=65"
4985,"[49,65)","[49,65)","[49,65)"
5030,"[36,49)","未知","[49,65)"
5036,"[29,36)","[29,36)","<29"
5039,"[49,65)","[49,65)","[49,65)"
5084,"[36,49)","[36,49)","[36,49)"
5093,"[49,65)","[49,65)","[49,65)"
5094,"[49,65)","[49,65)","[49,65)"
5097,"[36,49)","未知","[49,65)"
5111,"[29,36)","[29,36)","[29,36)"
5112,">=65",">=65",">=65"
5122,"[36,49)","[36,49)","[36,49)"
5125,">=65",">=65",">=65"
5132,"<29","<29","<29"
5170,"[49,65)","未知",">=65"
5172,"<29","<29","[36,49)"
5175,"[29,36)","[29,36)","[36,49)"
5188,">=65",">=65",">=65"
5196,"[49,65)",">=65","[49,65)"
5203,"[29,36)","[29,36)","[29,36)"
5221,"[29,36)","[29,36)","[29,36)"
5236,"<29","<29","<29"
5237,"<29","<29","<29"
5243,">=65",">=65",">=65"
5259,"<29","<29","<29"
5267,"<29","<29","<29"
5277,"[36,49)","[36,49)","[36,49)"
5294,"<29","[29,36)","<29"
5300,"<29","<29","<29"
5301,"[36,49)","[36,49)","[36,49)"
5306,"[36,49)","未知","[49,65)"
5310,"[36,49)","[36,49)","[36,49)"
5334,"[36,49)","[36,49)","[29,36)"
5339,"[49,65)","[49,65)","[49,65)"
5341,"<29","<29","<29"
5342,"<29","<29","<29"
5349,"<29","<29","未知"
5350,"[49,65)","[49,65)","[49,65)"
5358,"[36,49)","[36,49)","[36,49)"
5363,"<29","<29","[36,49)"
5386,"[49,65)","未知","[49,65)"
5387,"<29","<29","<29"
5389,">=65",">=65",">=65"
5391,"[49,65)","[36,49)","[36,49)"
5392,"[36,49)","[36,49)","[36,49)"
5396,">=65",">=65",">=65"
5403,"<29","<29","<29"
5412,"[49,65)","[49,65)","[49,65)"
5427,"<29","<29","<29"
5429,"[29,36)","[29,36)","[29,36)"
5438,"<29","<29","<29"
5451,"[49,65)","未知","[49,65)"
5454,"<29","<29","<29"
5486,"[29,36)","[29,36)","[29,36)"
5488,">=65",">=65",">=65"
5492,">=65",">=65",">=65"
5539,"<29","未知","<29"
5542,"[36,49)","未知","未知"
5551,"<29","<29","<29"
5558,">=65",">=65",">=65"
5571,"[29,36)","[36,49)","[29,36)"
5576,"[49,65)","[49,65)","[49,65)"
5586,">=65",">=65",">=65"
5588,"[49,65)",">=65","[49,65)"
5596,"<29","<29","<29"
5631,">=65",">=65","[49,65)"
5635,"<29","<29","<29"
5648,"[36,49)","[36,49)","[36,49)"
5666,">=65",">=65","[49,65)"
5668,">=65",">=65",">=65"
5672,"[49,65)","[36,49)","[36,49)"
5675,">=65",">=65",">=65"
5680,"[49,65)","未知",">=65"
5697,"[49,65)","[49,65)",">=65"
5715,"[36,49)","未知","[49,65)"
5732,">=65",">=65",">=65"
5736,"<29","<29","<29"
5768,"[29,36)","[29,36)","[29,36)"
5785,">=65",">=65","[49,65)"
5793,"[29,36)","[29,36)","[29,36)"
5797,"[29,36)","[29,36)","[36,49)"
5798,"[36,49)","[36,49)","[36,49)"
5810,">=65",">=65",">=65"
5813,"<29","<29","<29"
5819,">=65",">=65","[49,65)"
5835,">=65",">=65",">=65"
5836,"[36,49)","[29,36)","[36,49)"
5841,"[49,65)","[49,65)","[49,65)"
5857,"[36,49)","[36,49)","[36,49)"
5867,"<29","<29","<29"
5885,"[49,65)","[49,65)",">=65"
5887,"[29,36)","[36,49)","<29"
5889,"<29","<29","<29"
5901,"[29,36)","[36,49)","[29,36)"
5902,"<29","<29","<29"
5914,"<29","<29","<29"
5934,"[49,65)","[49,65)","[49,65)"
5936,"[36,49)","[36,49)","[36,49)"
5939,"[36,49)","未知","[49,65)"
5955,"[29,36)","[29,36)","[29,36)"
5976,">=65",">=65",">=65"
5982,"[29,36)","[29,36)","[29,36)"
5988,"[36,49)","[36,49)","[36,49)"
5998,"[49,65)","未知",">=65"
6016,">=65",">=65",">=65"
6019,"[29,36)","[29,36)","[29,36)"
6052,"[29,36)","[29,36)","[29,36)"
6053,"<29","<29","[36,49)"
6065,"<29","<29","<29"
6084,"[29,36)","[29,36)","[36,49)"
6088,"<29","<29","<29"
6104,"[36,49)","[36,49)","[36,49)"
6117,"[29,36)","[29,36)","[29,36)"
6123,"[36,49)","[36,49)","[36,49)"
6124,"[49,65)","[49,65)","[49,65)"
6143,"[49,65)","[49,65)",">=65"
6165,"[29,36)","<29","[36,49)"
6203,"[29,36)","[29,36)","[29,36)"
6208,"<29","<29","<29"
6213,">=65",">=65",">=65"
6223,"<29","<29","<29"
6248,"<29","<29","<29"
6252,"[49,65)","[49,65)",">=65"
6258,">=65",">=65",">=65"
6259,"[49,65)","未知","[49,65)"
6267,"[49,65)","[49,65)","[49,65)"
6279,"[29,36)","[29,36)","[36,49)"
6282,"[29,36)","[29,36)","[29,36)"
6289,"[36,49)","[36,49)","[36,49)"
6312,"[49,65)","[49,65)","[49,65)"
6343,"[29,36)","<29","[36,49)"
6352,">=65",">=65",">=65"
6354,"<29","<29","<29"
6366,">=65",">=65",">=65"
6368,">=65",">=65",">=65"
6369,"<29","<29","<29"
6383,"[29,36)","[29,36)","[29,36)"
6384,">=65",">=65",">=65"
6391,"[49,65)","[49,65)","[49,65)"
6397,"[36,49)","[36,49)","[36,49)"
6407,"[29,36)","<29","[29,36)"
6418,"[49,65)","[49,65)","[49,65)"
6419,"<29","<29","<29"
6426,"<29","<29","[29,36)"
6458,"<29","<29","未知"
6467,"[29,36)","[29,36)","<29"
6470,"<29","<29","[29,36)"
6472,"[49,65)","[36,49)","[36,49)"
6474,">=65","[36,49)","[36,49)"
6477,">=65",">=65","[49,65)"
6486,">=65",">=65",">=65"
6500,"[49,65)","未知","[49,65)"
6501,"<29","<29","<29"
6503,">=65",">=65",">=65"
6508,"[36,49)","[36,49)","[29,36)"
6515,"[36,49)","未知","[49,65)"
6517,">=65","未知",">=65"
6526,">=65",">=65",">=65"
6527,"[49,65)","未知",">=65"
6528,"[36,49)","[36,49)","[36,49)"
6538,"<29","<29","<29"
6571,"[49,65)","[49,65)","[49,65)"
6596,"[36,49)","[36,49)","[36,49)"
6624,"[49,65)","[49,65)","[49,65)"
6644,"[49,65)","[49,65)","[49,65)"
6652,"[36,49)","[36,49)","[36,49)"
6653,"[36,49)","[36,49)","[36,49)"
6660,">=65",">=65",">=65"
6679,">=65",">=65",">=65"
6681,"[29,36)","[29,36)","[29,36)"
6697,"[29,36)","[36,49)","[29,36)"
6710,"[36,49)","[36,49)","[29,36)"
6721,"<29","<29","<29"
6723,"[29,36)","[36,49)","[29,36)"
6750,"[49,65)","[49,65)","[49,65)"
6763,"<29","<29","<29"
6780,">=65",">=65","[49,65)"
6783,">=65",">=65",">=65"
6792,"[36,49)","[36,49)","[36,49)"
6794,"[49,65)","[49,65)","未知"
6797,"[49,65)","[36,49)","[36,49)"
6808,"[49,65)","[49,65)","[49,65)"
6813,">=65",">=65",">=65"
6826,"[29,36)","[29,36)","[36,49)"
6845,"<29","<29","<29"
6856,">=65",">=65",">=65"
6859,"[36,49)","[36,49)","[36,49)"
6861,"[29,36)","[29,36)","[29,36)"
6862,"[36,49)","[36,49)","[29,36)"
6865,"[36,49)","[36,49)","[36,49)"
6866,"[49,65)","[49,65)",">=65"
6868,">=65",">=65",">=65"
6881,">=65",">=65",">=65"
6886,"[36,49)","未知","[49,65)"
6892,"[29,36)","[29,36)","[36,49)"
6900,"<29","<29","<29"
6903,"<29","<29","<29"
6906,"[49,65)","[49,65)","[49,65)"
