"wm_poi_id","wm_poi_name","primary_second_tag_name","primary_third_tag_name","primary_first_tag_name","poi_brand_id","aor_id","poi_score","delivery_comment_avg_score","food_comment_avg_score"
43,"243077-f83517-391919-243077-193506-ae786-121306-102277-9f1640-231660-682596-e13-431608-272349","0","0","0","24","5","4.82","5","4.84"
44,"0a3249-1c925-e0770-1d3469-121306-c92922-773777-6417-8c2935-79217-cd3847-e21602-431608-272349","3","25","0","25","4","0","0","0"
45,"532065-611120-e41314-6f228-121306-433290-253623-60172-d556-431608-272349","3","10","0","8","2","4.25","5","4.25"
46,"a22084-352708-c53116-4a3834-431608-121306-a22084-352708-102277-cd3847-431608-272349","1","2","0","8","0","4.8","5","4.83"
47,"ef577-ef577-121306-79217-cd3847-e21602-402923-431608-272349","6","未知","2","26","4","4.98","5","4.98"
48,"082244-da793-5c1479-c3470-121306-402923-8c2935-431608-272349","0","27","0","27","10","4.61","4.93","4.7"
49,"b32448-d82670-e63234-4a2318-121306-103337-b4266-5a3200-593882-2c3401-cc1100-431608-272349","0","28","0","28","5","4.8","4.94","4.86"
50,"923691-ce4073-031473-612513-5f1581-fc3373-d71618-121306-402923-6b3322-8c2935-421264-431608-272349","0","29","0","29","7","4.78","5","4.82"
51,"082621-6b177-a93677-be65-133334-121306-102277-9f1640-1d553-431608-272349","1","30","0","18","5","0","0","0"
53,"fc647-a63626-031708-082380-233398-33816-121306-0e3899-051683-2e1710-111881-431608-272349","0","1","0","30","0","4.33","4.87","4.4"
54,"fc3373-641271-b5245-121306-353998-67198-063761-431608-272349","1","32","0","31","10","4.67","4.9","4.7"
55,"8f649-521793-2b3552-2e1710","1","33","0","8","8","4.04","4.85","4.19"
56,"b21236-c13220-e22943-ee867-0f2124-dc2847-a32507-ea2006-a43251-432525-611350-231497-121306-402923-84752-231660-c7153-8c2935-431608-272349","0","34","0","32","3","4.69","5","4.75"
57,"6b3322-5b1293-273158-342036-e93918-423697-021794-121306-402923-5f38-1f2314-192896-652408-431608-272349","1","35","0","33","1","4.2","5","4.2"
58,"8a2234-ae1825-4b644-a13945-121306-b31-a21596-431608-272349","1","2","0","34","10","4.61","4.95","4.66"
59,"a81742-042150-4a3834-0652-121306-402923-5f38-1f2314-192896-652408-431608-272349","7","36","0","35","1","4.78","4.85","4.78"
60,"9f790-2f273-6d2435-8a2234-7c3586-652546-a8274-6b3409-a8274-8a2234-c21871-121306-ce141-682644-063761-431608-272349","7","37","0","8","5","4.6","4.79","4.61"
61,"bb2878-031708-5f1581-de2424-d71618-fc3373-f63938-24424","0","38","0","8","9","4.8","4.73","4.87"
62,"87107-a32507-dc2847-da697-a43251-0f2124-2d4026-2d4026-df2800-121725-002989-30514-121306-c2857-a8269-431608-272349","5","未知","1","36","7","4.43","5","4.43"
63,"753219-812439-7e1325-48690-e0770-1d3469-121306-a93922-dd497-d0128-431608-272349","3","25","0","8","3","3.75","4.8","3.75"
64,"152857-321007-121306-2c3863-fd2565-37300-e41314-032517-6a3579-c93763-923691-431608-272349","3","25","0","37","6","4.44","4.83","4.48"
65,"8a2234-ee3335-6e4044-d71618-121306-353998-67198-063761-431608-272349","0","38","0","8","3","4.65","4.81","4.64"
66,"042150-b12072-5a1952-121306-652408-b164-1f2314-431608-272349","2","未知","1","17","0","4.5","5","4.74"
67,"042150-b12072-5a1952-121306-fa562-8c2935-063761-431608-272349","2","未知","1","17","9","4.93","5","4.93"
68,"021922-7f4028-b61275-0c1478-c62143-8b3036-7f4028-fc3373-f63938-24424-341620-233398-6d3428-121306-402923-84752-923691-072768-431608-272349","0","39","0","38","7","4.8","4.79","4.8"
69,"b92083-41810-b92083-41810-121306-082380-233398-33816-402923-84752-923691-072768-431608-272349","0","1","0","39","7","4.52","4.74","4.65"
70,"102277-9f1640-4a2318-323291-421264-2b3552-e33591-121306-b82976-ff2187-431608-272349","1","30","0","40","10","4.09","4.82","4.23"
72,"8e411-e43593-121306-402923-e22943-431608-272349","1","2","0","42","9","4.51","5","4.6"
73,"6b1586-9d3940-653615-341600-d13024-ce4005-c92945-121306-0d1431-063761-6417-b13427-a53996-431608-272349","8","未知","2","41","8","0","0","0"
74,"60442-d6384-cf2346-022908-b31-2c3454-2d263-141126-6f1612","7","37","0","8","9","4.67","4.93","4.65"
75,"233398-302459-79923-121306-923691-072768-431608-272349","1","3","0","43","7","4.17","4.33","4.42"
76,"66812-9d1744-cc910-87965-633547-121306-102277-9f1640-923691-ce4073-513720-5a1952-431608-272349","0","15","0","44","9","4.54","4.85","4.73"
77,"4e3562-68334-223743-492461-43819-6d3428-121306-d13754-1d553-431608-272349","0","26","0","45","9","4.79","4.92","4.81"
78,"263949-042150-ac854-253880-c62143-312841-42574-6e2940-a11755-d72063-121306-402923-e93887-e22943-431608-272349","0","40","0","46","9","4.6","4.94","4.55"
79,"f72290-cf1645-bd3656-251116-121306-102277-9f1640-402923-e22943-431608-272349","0","4","0","47","9","4.36","4.52","4.48"
80,"d6998-f83624-e93887-5a1952-3c1399-e41314-6f228-121306-402923-5f38-1f2314-192896-652408-5e2725-951677-431608-272349","3","41","0","48","1","5","5","5"
81,"811006-4b1791-a92470-192264-f23619-121306-5e2725-72226-231660-d0128-431608-272349","9","未知","1","49","0","4.86","4.93","4.84"
82,"d2536-fc3373-dd3028-de2424-121306-552306-eb3177-871632-431608-272349","0","31","0","8","10","4.58","4.85","4.59"
83,"e3519-381303-743115-ca1124-c62143-743115-ac854-243857-2b4091-e41314-121306-251713-a21596-063761-431608-272349","0","34","0","50","1","4.79","4.93","4.81"
84,"042150-d556-e93887-df2800-121725","5","未知","1","8","0","4.95","5","4.96"
85,"5d2360-094065-74760-121306-5e2725-a21596-063761-431608-272349","0","15","0","51","6","4.84","4.98","4.89"
87,"8b3036-7f4028-db2797-812352-121306-43819-54938-032517-341620-233398-6d3428-032517-c53116-4b2403-d72063-272349","0","39","0","8","6","4.52","4.78","4.54"
88,"5d2360-c94046-722118-b43550-c62143-b2193-fc3373-b43550-121306-6d412-492461-231660-242273-431608-272349","0","8","0","52","1","4.68","4.92","4.68"
89,"16978-572883-572883-121306-402923-84752-c2857-a8269-431608-272349","6","未知","2","53","3","4.81","5","4.84"
90,"29900-29900-323291-b53745-e41314-11949-361622-b43550","0","15","0","8","8","4.07","5","4.21"
91,"ec2719-02822-1a564-d556-c62143-772651-66812-b43550-121306-942726-b42607-ed2191-431608-272349","0","15","0","54","4","4.96","4.94","4.94"
92,"92711-094065-cc2258-d82616-d62216-121306-b82976-ff2187-431608-272349","0","21","0","18","10","4.64","5","4.57"
93,"87107-611350-87107-611350-112251-f81893-121306-60172-d556-431608-272349","6","未知","2","55","2","4.76","4.92","4.77"
94,"43819-0b4049-ac854-e72968-121306-402923-84752-c2857-a8269-431608-272349","0","7","0","8","3","4.64","5","4.64"
95,"b53745-193506-6b2824-bd1606-121306-102277-9f1640-353998-67198-063761-192896-2e2108-431608-272349","6","未知","2","56","10","4.75","4.89","4.83"
96,"d6218-8d2164-121306-102277-9f1640-1d553-431608-272349","1","2","0","57","5","4.67","5","4.78"
97,"af1654-19488-043726-121306-192896-2c3863-871632-431608-272349","1","43","0","8","2","0","0","0"
98,"8a2234-262634-7c3586-c62143-de2424-c53116-8a2234-083121-c02692-121306-6f3045-1d283-1d553-431608-272349","1","32","0","8","6","4.66","4.82","4.66"
99,"051683-af2413-111881-121306-492461-551635-4c2815-871632-431608-272349","1","2","0","58","10","4.5","4.95","4.52"
100,"d63854-9f790-253623-121306-0d1431-063761-431608-272349","1","2","0","59","5","4.83","4.95","4.78"
101,"f42916-1c1040-603585-a22132-0a2632-292238","8","未知","2","8","3","0","0","0"
102,"752762-b82976-062757-d13754-0b2594-1c925-121306-a8269-65804-e21602-431608-272349","4","44","0","60","6","4.5","5","4.5"
103,"3a239-982414-6c223-791908-c53116","1","32","0","8","0","0","0","0"
104,"771437-7f2508-e93887","0","40","0","8","9","4.67","5","4.67"
105,"633907-24542-c62143-263949-042150-8b3036-7f4028-fc3373-f63938-24424-121306-a8269-65804-e21602-431608-272349","0","45","0","8","6","4.66","4.87","4.62"
106,"c53116-fc3373-931572-121306-c21717-1d553-e21602-431608-272349","1","32","0","61","8","4.19","4.75","4.19"
107,"843204-cb1524-da793-d2536-fc3373-dd3028-de2424","0","31","0","8","7","4.2","5","4.2"
108,"633907-3635-fc3373-f63938-24424-121306-402923-a21596-063761-431608-272349","0","40","0","8","7","4.79","4.76","4.79"
109,"9f790-943539-082380-233398-323291-021794","1","3","0","8","10","0","0","0"
110,"de3791-5a1952-cf2679-d33665-a33280-35715-2c1019-121306-402923-84752-431608-272349","1","46","0","62","7","4.61","4.73","4.68"
111,"ce4073-3635-6e4044-d71618-c62143-2043-8b3464-aa797-fc3373-f63938-24424","0","38","0","8","1","4.83","4.89","4.85"
112,"243077-f83517-391919-243077-193506-ae786-121306-102277-9f1640-f43500-cc2258-063761-e21602-431608-272349","0","0","0","24","3","4.62","4.73","4.69"
113,"6f178-323291-c23605-b43550-121306-a8269-65804-e21602-431608-272349","0","47","0","8","6","4.67","4.84","4.63"
114,"492461-8c2935-323291-121306-b43550-323291-641271-323291-5c1479-c3470-323291-901015-5315-823574-f81036-431608-272349","0","8","0","10","6","4.71","4.8","4.75"
116,"402923-84752-231660-a62740-d71618","0","29","0","8","7","5","5","5"
117,"243077-442854-be2895-c34009-2c1019-28807-442854-121306-402923-84752-431608-272349","0","0","0","63","3","4.55","4.8","4.58"
118,"f31052-d8756-c34009-641271-121306-402923-84752-ac854-cc34-d0128-431608-272349","7","37","0","64","3","4.56","4.75","4.88"
120,"0b1163-2e1710-ed2191-323291-0e3239-c34009-2c1019-121306-223664-d91077-8c2935-431608-272349","7","37","0","8","2","4.89","5","4.89"
121,"d2536-fc3373-dd3028-de2424","0","31","0","8","10","5","4.5","5"
122,"41810-083121-b22415-63530-c53116-4a3834-121306-8a2234-5315-e5445-431608-272349","7","49","0","8","0","4.71","4.87","4.77"
123,"731761-7b3449-6e4044-d71618-121306-ce141-682644-063761-431608-272349","0","38","0","8","5","4.88","4.9","4.9"
124,"fa1551-594076-c02692-11995-121306-9d526-112251-052425-431608-272349","6","未知","2","8","0","4.79","5","4.82"
125,"002989-41810-083121-e33426-1c925-121306-5e2725-72226-431608-272349","0","12","0","8","0","4.33","5","4.33"
126,"4f3017-44959-d52609-772477-d82616-f51944-002808-121306-a93922-dd497-d0128-431608-272349","10","未知","1","8","10","4.87","4.89","4.88"
127,"7e2903-db2797-812352-b2193-fc3373-d72063-121306-102277-9f1640-402923-e93887-e22943-60725-083121-431608-272349","0","40","0","65","2","5","5","5"
128,"5a1952-5a537-5f164-a03756-0f2124","3","50","0","8","3","4.12","5","4.5"
129,"7e2903-8a2234-051683-731761-7b3449-6e4044-d71618","0","38","0","8","8","4.82","4.64","4.82"
130,"b12072-094065-74760-121306-79217-cd3847-e21602-431608-272349","0","8","0","8","0","4.3","4.8","4.2"
131,"903011-6f3202-2c1019-99789-c62143-2c1019-11949-c62143-28807-442854-c62143-c34009-2c1019-121306-402923-8c2935-431608-272349","7","37","0","66","5","3.2","4.2","3.2"
133,"ff2187-cc2898-082380-233398-323291-021794-121306-051683-353977-431608-272349","1","3","0","67","3","4.78","4.86","4.82"
134,"002989-8c2935-d0128-8a2234-d72063-c62143-d62216-1c925-121306-bb2878-5d2360-111881-5a1952-ac854-8c2935-431608-272349","0","51","0","8","0","4.58","4.67","4.67"
135,"083121-19397-002808-dd3028-021794-72226-ae786-121306-102277-9f1640-6a3579-c93763-923691-c92945-513720-5e2725-951677-431608-272349","4","52","0","68","6","5","5","5"
137,"31171-833800-c34009-2c1019-121306-5e2725-72226-431608-272349","7","37","0","8","0","4.78","4.91","4.79"
138,"9b892-231660-b62261-552471-361622-633554-43819-b43550-121306-59550-0c1478-901869-713861-5a3200-593882-2c3401-cc1100-5a1952-ac854-8c2935-431608-272349","0","53","0","8","5","4.52","4.83","4.39"
139,"652408-5a1952-193506-bd3656-251116-121306-fa1551-961181-431608-272349","0","4","0","69","4","4.67","4.9","4.7"
140,"a23694-871632-002989-7c3361-2c1019-c62143-b92734-a22084-e52645-7c3361-2c1019-121306-353998-67198-063761-431608-272349","0","15","0","70","10","4.69","4.86","4.61"
141,"891162-7b3449-c22859-d71618-be2895-121306-402923-84752-431608-272349","0","38","0","8","3","4.88","4.93","4.85"
142,"602975-042150-cf2679-371329-121306-433290-253623-60172-d556-431608-272349","0","26","0","71","2","4.75","5","4.78"
143,"a43214-121929-5c1479-c3470-121306-8d3794-642862-901869-713861-901015-9f790-323291-5a1952-ac854-8c2935-431608-272349","0","27","0","8","0","4.62","4.62","4.57"
144,"b33375-33816-121306-082380-233398-33816-082380-233398-a23694-272349","0","1","0","8","9","0","0","0"
145,"023798-8a2234-45894-aa3982-e43593-423697-b43550-121306-352708-cf2679-e21602-431608-272349","0","15","0","8","4","4.17","4.33","4.17"
146,"6e4044-d71618-c53116-4b2403-d72063-121306-192896-2c3863-871632-431608-272349","0","38","0","8","2","4.68","5","4.64"
147,"b31475-5f38-30514-de2424-c53116","7","49","0","8","8","0","0","0"
148,"223664-d91077-39147-102277-8a2234-931140","1","24","0","8","0","3.25","4.75","3.62"
149,"e42769-e9622-812352-6e4044-c62143-002989-41810-083121-044020-042150-121306-79217-cd3847-e21602-431608-272349","0","12","0","72","6","4.67","4.89","4.65"
150,"a03756-0f2124-1b1099-87965-d556-a51005-b43550-693510-303211-112728","0","15","0","8","8","4.84","4.93","4.82"
151,"262624-f03570-593882-f03570-121306-402923-e22943-ac854-cc34-d0128-431608-272349","6","未知","2","73","9","4.9","4.97","4.91"
152,"5a537-8c2935-871632-072336","1","32","0","8","0","4.68","5","4.77"
153,"931572-2e1710-d13754-fc3373-6d3428","0","26","0","8","7","4.55","5","4.7"
154,"fa2218-021922-8a2234-2c3147-c62143-dd1152-692433-8d3237-f83517-121306-652016-f42595-431608-59550-0c1478-52727-042150-ac854-ce4005-5a1952-ac854-5e2725-951677-272349","0","7","0","74","6","4.92","4.93","4.9"
155,"de2424-c53116-0e3899-b02374","1","32","0","8","10","4.6","4.82","4.62"
156,"8a2234-72855-c53116-4a3834-431608","1","2","0","8","8","5","5","5"
157,"2f3404-d01455-0d660-b2193-c62143-5d2360-b2193-ac854-ae2775","0","7","0","8","1","4.83","4.9","4.82"
159,"2b142-d0128-082380-233398-323291-021794-d72063-121306-8d3794-dd2480-901869-713861-5e1438-7f3309-ae2775-5a1952-ac854-8c2935-431608-272349","0","40","0","8","4","4.43","5","4.43"
160,"002989-8b2706-f81036-8a2234-863895-4a2318-121306-5e2725-98183-063761-431608-272349","1","16","0","8","8","4.47","4.73","4.56"
161,"021922-b2193-c02692-bb973-c62143-b2193-fc3373-552471-a23694-b43550","0","15","0","8","6","4.96","4.96","4.96"
162,"141582-39147-983846-121306-ce141-682644-063761-431608-272349","1","13","0","8","5","4.22","5","4.22"
163,"a21596-53437-c63006-b43550-92711-d72063-121306-8d3794-814098-901869-713861-fe3258-253623-121929-032268-5a1952-ac854-8c2935-431608-272349","0","40","0","8","10","4.72","5","4.72"
164,"74760-8a2234-b62261-c62143-8a2234-021794-43819-54938-c62143-2043-141126-6d3428-121306-6f3045-5e2725-871632-431608-272349","0","26","0","8","0","4.71","5","4.73"
165,"b92083-e31146-8d1398-c62143-4b1966-133334-423697-d72063-121306-79217-cd3847-e21602-431608-272349","0","54","0","75","6","5","5","5"
169,"7e2903-db2797-812352-b2193-fc3373-d72063-121306-102277-9f1640-b31-b52770-d0128-431608-272349","0","40","0","65","0","4.78","4.9","4.79"
170,"f71647-d32947-c53116-4a3834-121306-79217-cd3847-e21602-431608-272349","1","2","0","3","4","5","5","5"
172,"a22084-133334-1c925","1","16","0","8","8","4.5","4.81","4.44"
173,"a93922-e2458-67198-121929-121306-342036-cd3847-652630-031473-431608-272349","2","未知","1","13","10","0","0","0"
174,"ed213-2d2779-2c3863-fd2565-121306-402923-84752-231660-c7153-8c2935-431608-272349","0","7","0","77","3","4.73","4.96","4.76"
175,"7b3565-d3331-e93887-613072-6d930-ae786-121306-5e2725-72226-923691-361409-431608-272349","0","4","0","78","0","4.78","4.82","4.82"
176,"a43214-08613-2e1710-121306-402923-84752-6417-951677-431608-272349","0","7","0","9","7","4.83","4.96","4.81"
177,"ad211-923691-b53745-e41314-121306-b31-b52770-d0128-272349","0","15","0","79","0","4.8","5","4.8"
178,"342036-aa3982-de3803-111881-121306-402923-e61012-431608-272349","11","未知","2","80","3","4.55","4.8","4.6"
179,"843204-381655-082380-233398-33816-121306-90976-df1770-431608-272349","0","1","0","23","8","4.75","4.94","4.78"
180,"3a316-871632-e93887-9b2653-923691-e21103-2d2087-0c3415-fa1254-b2193-fc3373-d72063-121306-d72077-8f2156-713861-431608-272349","1","55","0","8","8","4.24","5","4.4"
181,"5c1030-022488-8a2234-d72063","0","51","0","8","0","4.37","5","4.39"
182,"a22383-f13620-002989-ac4075-121306-791908-6f3202-2a1361-262634-b22181-272349","1","13","0","8","0","4.65","4.87","4.65"
183,"231660-863895-5f1581-121306-a22084-e21602-431608-272349","1","2","0","81","8","5","5","5"
184,"843204-381655-082380-233398-33816-121306-4d686-a91342-231660-242273-272349","0","1","0","23","0","4.51","4.87","4.55"
185,"a22383-4a1218-141582-4a2318-9d2671-121306-102277-9f1640-402923-84752-431608-272349","1","13","0","82","3","4.6","4.92","4.6"
186,"402923-0b118-5315-923691-753219-38860-b2193-fc3373-d72063-121306-f43500-cc2258-063761-431608-272349","0","15","0","83","10","4.7","4.9","4.73"
187,"022488-051683-e33426-1c925-961815-121306-402923-8d3237-063761-431608-272349","0","12","0","12","9","4.7","4.89","4.71"
188,"1f2100-111881-d81534-66151-b43550-121306-4f55-322951-713861-431608-272349","0","6","0","84","8","4.88","5","4.89"
189,"042150-12495-c81788-121306-141582-4a2318-c62143-c53116-66812-5e2725-352708-871632-431608-272349","1","13","0","85","0","4.35","4.84","4.35"
190,"aa3982-cc34-621482-cc2258-d62216-1c925-121306-323291-652630-fc3373-d71618-272349","0","21","0","8","6","5","5","5"
191,"f71647-923691-50882-e41314-6f228","1","16","0","8","6","4.56","5","4.56"
192,"5e2725-253623-6b3322-423697-2c1019-43819-b43550","0","56","0","8","8","4.63","4.91","4.56"
193,"7b3565-d3331-e93887-613072-6d930-ae786-121306-5d2360-612035-5e2725-951677-431608-272349","0","4","0","78","4","4.92","4.98","4.94"
196,"6a3579-ad2269-f81198-ba2675-f2255-094065-893740-d6218-b43550-ed2191","1","32","0","8","9","4.19","5","4.16"
197,"d556-342036-771437-c62143-263949-402923-2e1710-f13620-4a2318-121306-352708-cf2679-431608-272349","1","5","0","86","0","4.75","5","4.72"
198,"d01455-231660-14513-2043-141126-6d3428-121306-192896-2c3863-871632-402923-d0128-431608-272349","0","26","0","8","2","4.71","4.94","4.78"
199,"183498-183498-062912-121306-051683-b0540-431608-272349","7","36","0","8","4","4.9","5","4.9"
200,"962462-443811-962462-6a841-962462-33816-121306-a22084-e21602-431608-272349","0","28","0","87","8","4.68","5","4.7"
201,"231660-2d2779-2e1710-a54081-a63626-e0770-1d3469-121306-5e2725-a21596-063761-431608-272349","3","10","0","88","0","4.62","4.84","4.61"
202,"842342-50882-c53116-4a3834-431608","1","24","0","8","9","4.82","5","4.82"
203,"a33027-ad211-e41314-6f228-121306-402923-84752-231660-c7153-8c2935-431608-272349","1","14","0","89","3","0","0","0"
204,"5a3200-031708-d82616-d62216-121306-ce4073-2b3528-6417-951677-431608-272349","0","21","0","8","0","4.91","4.89","4.94"
205,"8a2234-fe1148-d82616-d62216-121306-402923-5f38-1f2314-192896-652408-431608-272349","0","21","0","90","1","4.84","5","4.82"
206,"2d4026-1b3461-611350-432525-383668-3e277-611350-a22132-432525-8b2948-ea2006-87107-611350-0a2632-0a2632-292238-292238-121306-341600-d13024-272349","8","未知","2","8","7","0","0","0"
207,"4e3562-68334-223743-492461-43819-6d3428-121306-402923-84752-f83624-b43550-d0128-431608-272349","0","26","0","45","7","4.66","4.87","4.67"
208,"d63854-9f790-253623-121306-402923-5f38-1f2314-431608-272349","1","2","0","59","1","4.81","4.95","4.8"
209,"2d2779-002989-7d1638-a22084-de2424-fc3373-121306-513720-5a1952-cd2378-8d1754-663941-431608-272349","0","15","0","91","8","4.66","4.78","4.68"
210,"e4673-753219-2b3552-2e1710-121306-e4673-302533-871632-431608-272349","1","13","0","92","2","4.69","5","4.69"
211,"6a3579-4d2926-753219-a13945-b2193-682499-693510-a33027-3c1399-693510-43819-aa797-d32947-e41314-6f228-121306-a93922-dd497-d0128-431608-272349","0","15","0","8","3","4.72","4.9","4.71"
212,"b93795-d03650-b82604-431608-121306-79217-cd3847-e21602-431608-272349","0","57","0","93","6","4.8","4.91","4.81"
213,"042150-b12072-5a1952-121306-8a2234-5315-e5445-431608-272349","2","未知","1","17","9","4.71","5","4.82"
214,"3f1985-253623-982162-613072-6d930-ae786-121306-3e1059-bf1189-231660-242273-431608-272349","0","0","0","94","2","4.89","4.99","4.88"
215,"9d3940-132289-fe1605-5d709-121306-5315-823574-f81036-431608-272349","2","未知","1","95","6","4.9","4.97","4.91"
216,"402923-753518-ba1465-fc3373-f63938-24424-121306-ce141-682644-063761-431608-272349","0","45","0","96","5","4.73","4.97","4.75"
217,"ce4005-c92945-6b1586-9d3940-653615-341600-d13024-121306-d13754-1d553-431608-6417-b13427-16978-431608-272349","8","未知","2","41","9","4.67","5","4.83"
218,"231660-5a2225-044020-042150-59366-e41314","0","12","0","8","6","4.56","4.86","4.55"
219,"821910-43819-821910-43819-c62143-c34009-2c1019-c62143-2c1019-43819-cf2679-28807-442854-2c1019-11949-121306-102277-9f1640-402923-e22943-ac854-cc34-d0128-431608-272349","7","37","0","97","9","4.71","4.55","4.73"
220,"2d4026-a22132-99196-222440-8b2948-032517-f62276-db928-a51947-341620-11995-121306-2d4026-a22132-99196-222440-8b2948-102277-9f1640-402923-84752-923691-072768-431608-272349","9","未知","1","98","7","0","0","0"
221,"0a2002-4c1542-743115-ac854-121306-65804-a21596-cd3847-431608-272349","0","34","0","99","3","4.86","4.94","4.86"
222,"6b1586-9d3940-653615-341600-d13024-ce4005-c92945-121306-ce141-682644-063761-6417-b13427-16978-431608-272349","8","未知","2","41","5","4.6","5","4.4"
223,"402923-6c223-a51005-6b3114-121306-402923-e22943-ac854-cc34-d0128-431608-272349","2","未知","1","100","9","4.86","5","4.81"
